organization,identity,purpose,issued_in,ca_root,ca_root_sha256,issuer,subject,serial_hex,aki_hex,ski_hex,san,key_usage,extended_key_usage,not_before_utc,not_after_utc,cert_sha256,public_key_sha256,supply_user_id,supply_role,cert_path,cert_owner_uid_gid,cert_mode,key_owner_uid_gid,key_mode,identity_dir_mode,key_matches_cert,local_root_copy,chain_verifies
carrier,carrier-client1,attribute-free client ECert,M1 #10,carrier-enroll-ca,98:F5:9C:F2:AD:E1:C0:96:08:1E:34:6D:48:B5:69:17:0B:8B:01:18:A7:99:D0:D5:58:C4:C1:AE:14:20:35:A9,"CN=carrier-enroll-ca,OU=carrier enroll CA,O=SupplyLedger Lab,C=CN","CN=carrier-client1,OU=client,O=Hyperledger,ST=North Carolina,C=US",7EB308B083C0CB55009D672A19452DD355B45A5D,DC:41:1E:94:51:B1:13:6E:7F:48:C0:A2:4C:3D:E3:6A:DF:B9:33:8C,06:C1:D3:BD:30:9F:AE:FC:44:53:C7:15:D2:8C:76:39:6B:78:7C:B4,DNS:f5f36cfd8e86,Digital Signature,ABSENT,2026-09-24 12:29:00Z,2027-09-24 13:34:00Z,34:86:D4:EE:9D:B5:A7:78:5E:CF:EA:EF:4D:05:1A:C8:BF:77:C1:11:99:BB:EE:CB:F0:69:B1:BB:47:26:08:60,ec803ac1235c46e1efa0e83a2262efa25d10591bedd714ec93401be0b1b71745,,,.runtime/identities/carrier/carrier-client1/msp/signcerts/cert.pem,501:20,0644,501:20,0600,0700,PASS,PASS,PASS
carrier,carrier-operator1,business user ECert,M1 #10,carrier-enroll-ca,98:F5:9C:F2:AD:E1:C0:96:08:1E:34:6D:48:B5:69:17:0B:8B:01:18:A7:99:D0:D5:58:C4:C1:AE:14:20:35:A9,"CN=carrier-enroll-ca,OU=carrier enroll CA,O=SupplyLedger Lab,C=CN","CN=carrier-operator1,OU=client,O=Hyperledger,ST=North Carolina,C=US",6A2B5C648109DFE3D600111DA016FB39B85139A2,DC:41:1E:94:51:B1:13:6E:7F:48:C0:A2:4C:3D:E3:6A:DF:B9:33:8C,FB:2D:6F:97:22:7A:B8:8D:68:A5:69:E1:8A:AC:90:B7:44:13:8B:3F,DNS:05ac66741bec,Digital Signature,ABSENT,2026-09-24 12:29:00Z,2027-09-24 13:33:00Z,5B:34:BB:BC:C4:44:99:2C:2E:09:5D:DA:F1:BC:4D:CF:8A:34:2B:B7:1F:71:D1:98:35:79:7B:4B:2D:62:A7:58,e65eb635b00f39b59b9926efe96678f4943fc808845e35c8f47e34271f55fe78,carrier.operator1,operator,.runtime/identities/carrier/carrier-operator1/msp/signcerts/cert.pem,501:20,0644,501:20,0600,0700,PASS,PASS,PASS
carrier,carrier-peer0,Peer node ECert,M1 #10,carrier-enroll-ca,98:F5:9C:F2:AD:E1:C0:96:08:1E:34:6D:48:B5:69:17:0B:8B:01:18:A7:99:D0:D5:58:C4:C1:AE:14:20:35:A9,"CN=carrier-enroll-ca,OU=carrier enroll CA,O=SupplyLedger Lab,C=CN","CN=carrier-peer0,OU=peer,O=Hyperledger,ST=North Carolina,C=US",21D8953629933A338164681446FB309427C0B1C7,DC:41:1E:94:51:B1:13:6E:7F:48:C0:A2:4C:3D:E3:6A:DF:B9:33:8C,95:C2:09:2C:9A:C5:92:3E:F6:7B:4B:82:7A:0C:54:54:97:85:4B:7A,DNS:68c2e74d0d2d,Digital Signature,ABSENT,2026-09-24 12:29:00Z,2027-09-24 13:35:00Z,DA:BB:EB:D1:7B:F9:C5:3A:EB:A9:A8:FC:0F:F2:3B:18:0D:AD:FF:E5:47:AB:05:57:9D:98:3A:A2:E5:F3:37:17,11f20ea8acb0e3e67797d7ceaf1afab7789a7282ca286d13cfd35f1fbfc71274,,,.runtime/identities/carrier/carrier-peer0/msp/signcerts/cert.pem,501:20,0644,501:20,0600,0700,PASS,PASS,PASS
carrier,carrier-peer0-tls,Peer TLS node,M1 #10,carrier-tls-ca,3D:3F:FC:65:8F:1C:B6:3F:D1:81:E4:4F:77:23:EC:2E:6C:2E:C6:A1:07:B3:34:50:6B:D4:CC:B5:9E:4C:F9:6A,"CN=carrier-tls-ca,OU=carrier tls CA,O=SupplyLedger Lab,C=CN","CN=carrier-peer0-tls,OU=peer,O=Hyperledger,ST=North Carolina,C=US",45C7198393BE068C45DD72F12CBF11D8993DD948,3C:FA:C4:E2:F3:28:96:B2:DF:A2:8D:FF:15:FD:3D:A5:63:14:90:57,E8:A4:F3:7D:2A:F5:CE:E6:59:D8:52:73:AB:84:8E:A5:C3:6D:25:DA,DNS:peer0.carrier.supply.test,"Digital Signature, Key Encipherment, Key Agreement","TLS Web Server Authentication, TLS Web Client Authentication",2026-09-24 12:20:00Z,2027-09-24 13:35:00Z,B8:B1:73:F4:1C:8B:9D:4F:FA:CB:75:8B:E3:6A:BF:3E:13:B8:82:93:25:0A:5B:8E:E2:5E:13:CE:CD:DE:43:B8,d7c05db22c76f260dc505f962d2e9488e4f802a06e3df047c70b36e381a9541b,,,.runtime/identities/carrier/carrier-peer0-tls/msp/signcerts/cert.pem,501:20,0644,501:20,0600,0700,PASS,PASS,PASS
carrier,enroll-registrar,CA registrar,M1 #10,carrier-enroll-ca,98:F5:9C:F2:AD:E1:C0:96:08:1E:34:6D:48:B5:69:17:0B:8B:01:18:A7:99:D0:D5:58:C4:C1:AE:14:20:35:A9,"CN=carrier-enroll-ca,OU=carrier enroll CA,O=SupplyLedger Lab,C=CN","CN=carrier-enroll-registrar,OU=client,O=Hyperledger,ST=North Carolina,C=US",045012E0801FD4BC5DD806B19DF5F841D93FF8AB,DC:41:1E:94:51:B1:13:6E:7F:48:C0:A2:4C:3D:E3:6A:DF:B9:33:8C,2C:EB:40:E9:4D:DD:FA:E0:7E:7D:C2:70:05:B1:BB:36:6C:92:AD:CF,DNS:184b95246755,Digital Signature,ABSENT,2026-09-24 12:29:00Z,2027-09-24 13:14:00Z,B3:7C:68:DB:77:C6:4B:BF:1F:96:B5:7D:EF:E2:C1:CE:8B:7C:43:1B:03:98:F8:B3:C8:57:3E:7D:E7:86:62:2A,a15cd6f05671bf421a349f7318f25de58b5c1dd401d81e17be6435091d839006,,,.runtime/identities/carrier/enroll-registrar/msp/signcerts/cert.pem,501:20,0644,501:20,0600,0700,PASS,PASS,PASS
carrier,enroll-server-tls,Enrollment CA HTTPS server,M1 #9,carrier-tls-ca,3D:3F:FC:65:8F:1C:B6:3F:D1:81:E4:4F:77:23:EC:2E:6C:2E:C6:A1:07:B3:34:50:6B:D4:CC:B5:9E:4C:F9:6A,"CN=carrier-tls-ca,OU=carrier tls CA,O=SupplyLedger Lab,C=CN","CN=carrier-enroll-server-tls,OU=client,O=Hyperledger,ST=North Carolina,C=US",1CBDD8E5F544A3EEBAA59218BD119B3744CD3579,3C:FA:C4:E2:F3:28:96:B2:DF:A2:8D:FF:15:FD:3D:A5:63:14:90:57,4E:FD:A5:AB:77:25:3C:4E:45:96:AA:CF:AA:26:98:A3:AD:3A:0F:01,DNS:ca-enroll.carrier.supply.test,"Digital Signature, Key Encipherment, Key Agreement","TLS Web Server Authentication, TLS Web Client Authentication",2026-09-24 12:20:00Z,2027-09-24 12:34:00Z,E0:78:16:82:69:49:61:9D:BB:6A:55:76:E0:31:1E:3E:3B:CD:31:88:B5:78:23:1E:B0:95:92:3D:0E:18:D2:AB,70a18eb9047f002e51c3e67ccc25b0c2734793a362ec37d35b381410154c785c,,,.runtime/identities/carrier/enroll-server-tls/msp/signcerts/cert.pem,501:20,0644,501:20,0600,0700,PASS,PASS,PASS
carrier,tls-registrar,CA registrar,M1 #9,carrier-tls-ca,3D:3F:FC:65:8F:1C:B6:3F:D1:81:E4:4F:77:23:EC:2E:6C:2E:C6:A1:07:B3:34:50:6B:D4:CC:B5:9E:4C:F9:6A,"CN=carrier-tls-ca,OU=carrier tls CA,O=SupplyLedger Lab,C=CN","CN=carrier-tls-registrar,OU=client,O=Hyperledger,ST=North Carolina,C=US",1E0FD9EFA289D55B308FA0AA9A6510C2D036F58C,3C:FA:C4:E2:F3:28:96:B2:DF:A2:8D:FF:15:FD:3D:A5:63:14:90:57,33:D1:5B:AB:51:84:12:5A:58:51:A4:50:CC:65:FF:09:CC:2F:AD:47,DNS:5b8aba7939f6,"Digital Signature, Key Encipherment, Key Agreement","TLS Web Server Authentication, TLS Web Client Authentication",2026-09-24 12:20:00Z,2027-09-24 12:33:00Z,95:72:5E:E5:F6:4D:10:9D:DD:9A:45:DB:68:21:2E:53:E1:00:63:AA:F2:AC:21:4A:FE:76:42:59:4F:CE:49:5E,84fe502ae8a020d61f748be8bfc784565b084ebe3a8d89b047b6d9dd90b20ed3,,,.runtime/identities/carrier/tls-registrar/msp/signcerts/cert.pem,501:20,0644,501:20,0600,0700,PASS,PASS,PASS
orderer,admin-tls-registrar,CA registrar,M1 #10,orderer-admin-tls-ca,71:CE:E5:B9:8D:F4:A0:13:49:22:38:4D:C9:12:C5:C8:E6:F4:CC:F7:83:B5:DC:05:FB:80:E6:FF:76:DF:6B:72,"CN=orderer-admin-tls-ca,OU=orderer admin-tls CA,O=SupplyLedger Lab,C=CN","CN=orderer-admin-tls-registrar,OU=client,O=Hyperledger,ST=North Carolina,C=US",0BF7A6AC84736B749DAF18B8B5509E372D248E62,E4:41:2A:9B:CC:53:85:8A:44:E4:02:92:A6:D3:9D:2B:3A:CE:8B:36,7E:87:CB:20:A7:AB:9B:D1:27:54:AB:C1:7A:00:BC:E0:B7:5D:6D:5E,DNS:df6768a98dc6,"Digital Signature, Key Encipherment, Key Agreement","TLS Web Server Authentication, TLS Web Client Authentication",2026-09-24 12:27:00Z,2027-09-24 13:24:00Z,66:68:14:C4:A1:99:EA:DC:6B:24:7F:E4:14:22:88:68:18:3C:0E:5E:2B:C0:56:99:29:EE:D9:5C:C3:4B:F7:AA,f21a1860f49e6975df5ef9a392aa8ad1b87b1ed1fefb521e27d501825df297b3,,,.runtime/identities/orderer/admin-tls-registrar/msp/signcerts/cert.pem,501:20,0644,501:20,0600,0700,PASS,PASS,PASS
orderer,enroll-registrar,CA registrar,M1 #10,orderer-enroll-ca,92:AF:32:37:B4:E9:81:A0:89:69:13:A6:C7:57:BB:E3:C9:C6:CC:28:6A:CF:1B:25:52:BD:A0:C0:6D:23:DF:A4,"CN=orderer-enroll-ca,OU=orderer enroll CA,O=SupplyLedger Lab,C=CN","CN=orderer-enroll-registrar,OU=client,O=Hyperledger,ST=North Carolina,C=US",266AF4F5EEBA7F8B01338277ABA0C6662B2B8BFB,4F:9C:63:1E:C5:D6:3C:F6:1B:DE:40:FB:DD:41:F3:49:AC:12:0E:54,9A:71:03:5C:69:A8:DD:00:81:B5:6B:BF:A7:6A:09:B2:0E:96:B3:36,DNS:c1be18b88e07,Digital Signature,ABSENT,2026-09-24 12:30:00Z,2027-09-24 13:14:00Z,18:ED:64:56:9B:D3:9A:91:A2:59:68:04:77:2D:32:F0:54:1D:F2:BF:A1:D1:A3:0C:70:4C:B3:E8:09:AB:E9:CF,7dcaf962594eb8637d9177ea7458f793330dc1ac00e1baea249e56729eb6d02b,,,.runtime/identities/orderer/enroll-registrar/msp/signcerts/cert.pem,501:20,0644,501:20,0600,0700,PASS,PASS,PASS
orderer,enroll-server-tls,Enrollment CA HTTPS server,M1 #9,orderer-tls-ca,25:D0:A6:EF:0B:CF:77:F1:E7:FF:85:85:70:8D:88:3F:79:CC:CA:81:FE:86:6A:AB:D9:13:E8:49:B7:D0:36:D4,"CN=orderer-tls-ca,OU=orderer tls CA,O=SupplyLedger Lab,C=CN","CN=orderer-enroll-server-tls,OU=client,O=Hyperledger,ST=North Carolina,C=US",0249840653F40985F8BEBD9CADE56D4945653EF3,8C:71:0C:43:20:23:B8:C9:82:B7:46:4D:2D:B6:02:6D:1B:D7:5F:7D,C0:5C:F5:49:AB:8C:84:BA:A0:FD:E1:B4:3C:AC:66:AC:E3:DD:A2:5A,DNS:ca-enroll.orderer.supply.test,"Digital Signature, Key Encipherment, Key Agreement","TLS Web Server Authentication, TLS Web Client Authentication",2026-09-24 12:20:00Z,2027-09-24 12:35:00Z,BB:84:DB:A1:7B:CE:3B:EB:C5:01:94:B1:6A:C9:47:7E:81:11:94:21:45:58:6D:70:90:8E:A2:D3:EF:25:E9:5E,7e417c3d9cdf2d8c6d85fd007de8f17fcc3ed71ac3f5b00df8a08028713b1ed8,,,.runtime/identities/orderer/enroll-server-tls/msp/signcerts/cert.pem,501:20,0644,501:20,0600,0700,PASS,PASS,PASS
